cohort,0,1,2,3,4,5,6,7,8,9,10,11,12
2023-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
2023-02,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
2023-03,100.0,20.0,10.0,0.0,20.0,10.0,10.0,10.0,30.0,10.0,10.0,20.0,10.0
2023-04,100.0,0.0,0.0,16.666666666666664,0.0,5.555555555555555,0.0,22.22222222222222,5.555555555555555,5.555555555555555,0.0,16.666666666666664,11.11111111111111
2023-05,100.0,11.76470588235294,0.0,0.0,11.76470588235294,5.88235294117647,11.76470588235294,17.647058823529413,5.88235294117647,0.0,5.88235294117647,5.88235294117647,11.76470588235294
2023-06,100.0,6.0606060606060606,3.0303030303030303,6.0606060606060606,6.0606060606060606,3.0303030303030303,12.121212121212121,6.0606060606060606,18.181818181818183,3.0303030303030303,9.090909090909092,15.151515151515152,9.090909090909092
2023-07,100.0,18.421052631578945,5.263157894736842,13.157894736842104,15.789473684210526,13.157894736842104,5.263157894736842,10.526315789473683,13.157894736842104,7.894736842105263,15.789473684210526,7.894736842105263,15.789473684210526
2023-08,100.0,10.344827586206897,3.4482758620689653,17.24137931034483,10.344827586206897,10.344827586206897,6.896551724137931,6.896551724137931,13.793103448275861,6.896551724137931,13.793103448275861,13.793103448275861,13.793103448275861
2023-09,100.0,3.0303030303030303,12.121212121212121,15.151515151515152,6.0606060606060606,12.121212121212121,9.090909090909092,12.121212121212121,6.0606060606060606,6.0606060606060606,15.151515151515152,15.151515151515152,9.090909090909092
2023-10,100.0,15.384615384615385,15.384615384615385,23.076923076923077,0.0,19.230769230769234,7.6923076923076925,11.538461538461538,19.230769230769234,15.384615384615385,19.230769230769234,19.230769230769234,0.0
2023-11,100.0,17.391304347826086,6.521739130434782,4.3478260869565215,8.695652173913043,13.043478260869565,8.695652173913043,23.91304347826087,4.3478260869565215,8.695652173913043,13.043478260869565,13.043478260869565,15.217391304347828
2023-12,100.0,11.940298507462686,8.955223880597014,5.970149253731343,19.402985074626866,8.955223880597014,8.955223880597014,11.940298507462686,7.462686567164178,13.432835820895523,10.44776119402985,26.865671641791046,16.417910447761194
2024-01,100.0,4.651162790697675,13.953488372093023,6.976744186046512,11.627906976744185,16.27906976744186,4.651162790697675,13.953488372093023,16.27906976744186,9.30232558139535,18.6046511627907,16.27906976744186,
2024-02,100.0,10.869565217391305,15.217391304347828,19.565217391304348,17.391304347826086,15.217391304347828,8.695652173913043,10.869565217391305,8.695652173913043,19.565217391304348,15.217391304347828,,
2024-03,100.0,11.428571428571429,14.285714285714285,24.285714285714285,7.142857142857142,11.428571428571429,11.428571428571429,2.857142857142857,18.571428571428573,18.571428571428573,,,
2024-04,100.0,15.384615384615385,10.76923076923077,10.76923076923077,16.923076923076923,12.307692307692308,18.461538461538463,23.076923076923077,18.461538461538463,,,,
2024-05,100.0,11.304347826086957,14.782608695652174,14.782608695652174,13.043478260869565,13.043478260869565,11.304347826086957,27.82608695652174,,,,,
2024-06,100.0,12.380952380952381,10.476190476190476,13.333333333333334,18.095238095238095,20.0,21.904761904761905,,,,,,
2024-07,100.0,15.909090909090908,19.318181818181817,14.772727272727273,22.727272727272727,25.0,,,,,,,
2024-08,100.0,20.792079207920793,10.891089108910892,21.782178217821784,19.801980198019802,,,,,,,,
2024-09,100.0,21.705426356589147,17.05426356589147,26.356589147286826,,,,,,,,,
2024-10,100.0,35.57692307692308,31.73076923076923,,,,,,,,,,
2024-11,100.0,37.68115942028986,,,,,,,,,,,
2024-12,100.0,,,,,,,,,,,,
